,Model,Average Departure Delay
0,737-2Y5,7.022026431718062
1,737-282,8.433566433566433
2,737-230,10.458646616541353
3,737-282C,11.765765765765765
4,767-324,15.788051209103841
5,767-432ER,15.793831536083252
6,757-26D,15.942548158161541
7,182A,17.10326086956522
8,A318-111,17.147109826589595
9,767-3P6,17.385817307692307
10,757-212,17.51070110701107
11,777-232,17.521508794236066
12,737-832,17.69418506410021
13,757-232,17.774470060792478
14,767-332,17.81414698606352
15,A319-111,18.67868088758122
16,DA 20-A1,20.041798606713108
17,767-3CB,20.716778523489932
18,EMB-120,20.798148274218804
19,757-351,21.41301447699985
20,EMB-120ER,21.45844681026657
21,A319-132,21.631674801486124
22,767-224,21.835771105978957
23,A321-211,21.986651835372637
24,MD-90-30,22.20332326283988
25,A320-214,22.524075366364272
26,747-451,22.589041095890412
27,737-3S3,22.61637406570485
28,767-33A,22.61645218268988
29,777-224,22.744791666666668
30,767-424ER,22.750885478158207
31,A319-114,22.781221761643167
32,737-924,22.79251220835594
33,737-33A,22.829516539440203
34,A319-112,22.950141588978333
35,MD-88,23.367552422747004
36,757-231,23.47055785123967
37,737-3B7,23.589323787727636
38,737-4B7,23.867225580035093
39,737-3G7,23.872945638432363
40,737-401,23.94707651814251
41,737-790,24.13783269961977
42,757-2Q8,24.277864685177942
43,737-824,24.464907057066686
44,777-222,24.544115253133647
45,737-301,24.780416361544095
46,737-890,25.22800495662949
47,A320-231,25.310452209464493
48,737-990,25.408651865415425
49,757-324,25.46209454960525
50,757-222,25.589056319742976
51,757-224,25.626775963272248
52,737-724,25.668456849002613
53,767-3G5,25.873511060692003
54,757-2G7,25.89070638764507
55,A320-212,25.984554333103627
56,G-IV,26.06338028169014
57,757-2S7,26.092761839597284
58,A320-232,26.390219274943462
59,S-50A,26.41891229789319
60,737-490,26.49701545270283
61,A109E,26.573926868044516
62,757-225,26.796749521988527
63,737-3Y0,26.81434842883549
64,A320-211,26.978851252765182
65,737-3T5,27.01008492569002
66,737-4Q8,27.076104456026414
67,757-251,27.316358057573886
68,PA-31-350,27.357354811360747
69,KITFOX IV,27.79584775086505
70,737-3H4,27.836844895177403
71,737-317,27.84160230396649
72,737-7H4,27.867954455333372
73,550,27.897911832946637
74,767-223,27.935908516720964
75,PA-32R-300,27.944015444015445
76,737-3L9,28.05550883095038
77,737-3TO,28.176935112163562
78,206B,28.228699551569505
79,AS 355F1,28.39896373056995
80,FALCON-XP,28.41203007518797
81,DC-9-41,28.422613008679967
82,DC-9-31,28.52325687989293
83,747-2B5F,28.524113475177305
84,S55A,28.580810546875
85,737-4S3,28.703560830860535
86,182P,28.782159624413147
87,737-3A4,28.78759374602771
88,737-3Q8,28.927673649393604
89,767-322,28.95243841126194
90,210-5(205),28.972196478220575
91,OTTER DHC-3,28.995287958115185
92,DC-9-82(MD-82),29.006965247152856
93,DC-9-51,29.038647685990508
94,767-323,29.155552484278903
95,737-8FH,29.303867403314918
96,FALCON XP,29.372310969116082
97,VANS AIRCRAFT RV6,29.392702832453192
98,172M,29.467719589914104
99,DC-9-32,29.478990054680906
100,T210N,29.49512411347518
101,757-223,29.519901198188634
102,65-A90,29.744082840236686
103,150,29.75025746652935
104,,29.830170964608644
105,HST-550,30.174719375305028
106,421C,30.308364544319602
107,737-76N,30.309683442247305
108,DC-9-83(MD-83),30.34742386537367
109,A-1B,30.34775641025641
110,PA-28-180,30.541469194312796
111,MD 83,30.5835734870317
112,S-76A,30.690036900369005
113,F85P-1,30.762005277044857
114,737-7BD,31.033116036505866
115,172E,31.088724584103513
116,EMB-135KL,31.374988968317005
117,E-90,31.42578125
118,PA-32RT-300,31.479768786127167
119,60,31.49671977507029
120,CL-600-2B19,31.620927265615574
121,A319-131,31.73854002631749
122,C90,31.83309489747258
123,737-524,31.943239017501387
124,737-73A,31.98709677419355
125,690A,32.0
126,747-422,32.005108556832695
127,EMB-145EP,32.116699083078636
128,EMB-145XR,32.139281493354055
129,EMB-145LR,32.40545172112408
130,EMB-145,32.417014875480525
131,DC-7BF,32.52611218568666
132,1121,33.29087452471483
133,737-322,33.846681659629155
134,767-2B7,33.925414364640886
135,SAAB 340B,33.93355119825708
136,737-522,34.37026589988936
137,CL-600-2C10,34.6212598971544
138,EMB-135ER,35.417502004811546
139,757-33N,35.712418300653596
140,EMB-135LR,36.86548136863838
141,ATR 72-212,38.26736549633746
142,ATR-72-212,38.699194724494326
143,717-200,38.737104772534146
144,ERJ 190-100 IGW,41.723958333333336
145,A330-223,55.8
